participant_id,participant_id_dataset,date,dataset_of_origin,Version,SC0,Study,Q_TotalDuration
SEP_09_0269,1041,2020-08-18T13:09:54Z,2021_JP_R56,A,8,NA,394
SEP_09_0270,1042,2020-08-18T14:16:23Z,2021_JP_R56,A,11,NA,579
SEP_09_0271,1061,2020-08-18T16:08:39Z,2021_JP_R56,B,10,NA,432
SEP_09_0272,1102,2020-08-18T16:42:57Z,2021_JP_R56,D,4,NA,211
SEP_09_0273,1105,2020-08-18T19:41:54Z,2021_JP_R56,C,5,NA,187
SEP_09_0274,1047,2020-08-19T11:06:06Z,2021_JP_R56,B,7,NA,165
SEP_09_0275,1053,2020-08-19T12:16:25Z,2021_JP_R56,A,6,NA,388
SEP_09_0276,1088,2020-08-19T13:14:36Z,2021_JP_R56,B,7,NA,542
SEP_09_0277,1082,2020-08-19T13:58:31Z,2021_JP_R56,D,2,NA,140
SEP_09_0278,1091,2020-08-19T15:47:28Z,2021_JP_R56,C,6,NA,211
SEP_09_0279,1038,2020-08-19T16:12:47Z,2021_JP_R56,A,8,NA,250
SEP_09_0280,1100,2020-08-19T17:49:19Z,2021_JP_R56,D,4,NA,306
SEP_09_0281,1067,2020-08-19T19:12:28Z,2021_JP_R56,A,12,NA,493
SEP_09_0282,1059,2020-08-20T08:39:16Z,2021_JP_R56,A,11,NA,409
SEP_09_0283,1063,2020-08-20T11:19:45Z,2021_JP_R56,B,8,NA,568
SEP_09_0284,1055,2020-08-20T12:06:29Z,2021_JP_R56,B,4,NA,107
SEP_09_0285,1076,2020-08-20T12:07:05Z,2021_JP_R56,B,5,NA,291
SEP_09_0286,1078,2020-08-20T13:09:21Z,2021_JP_R56,A,11,NA,393
SEP_09_0287,1049,2020-08-20T16:06:42Z,2021_JP_R56,A,6,NA,227
SEP_09_0288,1066,2020-08-20T16:09:49Z,2021_JP_R56,B,6,NA,340
SEP_09_0289,1115,2020-08-20T16:11:39Z,2021_JP_R56,A,9,NA,315
SEP_09_0290,1068,2020-08-20T16:18:45Z,2021_JP_R56,B,10,NA,623
SEP_09_0291,1110,2020-08-20T16:37:40Z,2021_JP_R56,D,3,NA,158
SEP_09_0292,1072,2020-08-20T17:16:58Z,2021_JP_R56,B,9,NA,439
SEP_09_0293,1070,2020-08-20T18:07:41Z,2021_JP_R56,A,8,NA,353
SEP_09_0294,1075,2020-08-21T10:08:34Z,2021_JP_R56,B,9,NA,481
SEP_09_0295,1064,2020-08-21T12:17:54Z,2021_JP_R56,B,10,NA,580
SEP_09_0296,1109,2020-08-21T13:07:07Z,2021_JP_R56,C,5,NA,242
SEP_09_0297,1089,2020-08-21T14:18:30Z,2021_JP_R56,A,9,NA,314
SEP_09_0298,1035,2020-08-21T15:12:47Z,2021_JP_R56,B,5,NA,504
SEP_09_0299,1116,2020-08-24T12:16:40Z,2021_JP_R56,A,7,NA,579
SEP_09_0300,1074,2020-08-24T13:07:50Z,2021_JP_R56,A,6,NA,273
SEP_09_0301,1111,2020-08-24T13:55:21Z,2021_JP_R56,C,4,NA,175
SEP_09_0302,1060,2020-08-25T09:08:01Z,2021_JP_R56,A,4,NA,367
SEP_09_0303,1078,2020-08-25T12:08:51Z,2021_JP_R56,B,13,NA,369
SEP_09_0304,1088,2020-08-25T12:09:54Z,2021_JP_R56,A,6,NA,457
SEP_09_0305,1075,2020-08-25T14:06:20Z,2021_JP_R56,A,12,NA,268
